ts_utc,close_time,label,tf,event,direction,price,box_top,box_bottom,box_id,confluence
2026-07-20T02:57:58+00:00,1784505600000,Silber,1h,long_created,long,56.73,55.96,55.62,L1784502000000,
2026-07-20T02:57:58+00:00,1784509200000,Apple,1h,long_created,long,334.3,335.16,333.14,L1784505600000,
2026-07-20T02:57:59+00:00,1784509200000,Nvidia,1h,short_created,short,202.83,203.06,202.89,S1784494800000,
2026-07-20T02:58:00+00:00,1784512800000,Nvidia,1h,long_created,long,202.83,204.34,203.87,L1784505600000,
2026-07-20T02:58:01+00:00,1784509200000,Amazon,1h,short_created,short,247.52,247.64,247.26,S1784498400000,
2026-07-20T02:58:02+00:00,1784509200000,Google,1h,short_created,short,348.22,348.11,347.32,S1784498400000,
2026-07-20T02:58:03+00:00,1784512800000,HYPE,1h,long_created,long,60.217,61.208,60.812,L1784505600000,
2026-07-20T02:58:04+00:00,1784505600000,Rohoel,1h,short_created,short,83.73,83.79,83.37,S1784498400000,
2026-07-20T06:44:25+00:00,1784527199999,ETH,1h,long_created,long,1855.45,1882.24,1870.91,L1784519999999,
2026-07-20T06:44:26+00:00,1784519999999,BNB,4h,short_created,short,570.13,570.47,566.33,S1784491199999,
2026-07-20T06:44:28+00:00,1784519999999,BTC,4h,short_created,short,64869.8,64752.0,64280.0,S1784491199999,1d
2026-07-20T06:44:28+00:00,1784527199999,DOGE,1h,long_created,long,0.07172,0.07296,0.07256,L1784519999999,
2026-07-20T06:44:29+00:00,1784519999999,DOGE,4h,short_created,short,0.07273,0.07255,0.07169,S1784491199999,
2026-07-20T06:44:30+00:00,1784527199999,SUI,1h,long_created,long,0.742,0.7546,0.7488,L1784516399999,
2026-07-20T06:44:31+00:00,1784520000000,Amazon,4h,short_created,short,247.6,247.28,246.98,S1784476800000,
2026-07-20T09:46:09+00:00,1784534399999,BTC,1h,long_created,long,64049.99,64914.93,64644.01,L1784519999999,
2026-07-20T09:46:10+00:00,1784534399999,BNB,1h,long_created,long,565.29,571.64,568.7,L1784516399999,
2026-07-20T09:46:10+00:00,1784534399999,XRP,1h,long_created,long,1.0882,1.1036,1.0962,L1784516399999,
2026-07-20T09:46:11+00:00,1784534400000,Gold,4h,short_created,short,4022.57,4018.22,3995.12,S1784505600000,
2026-07-20T09:46:12+00:00,1784538000000,Gold,1h,short_created,short,4024.23,4017.49,4009.1,S1784530800000,
2026-07-20T09:46:12+00:00,1784538000000,Take-Two,1h,short_created,short,237.79,237.68,236.67,S1784530800000,
2026-07-20T12:04:38+00:00,1784548799999,ADA,4h,long_created,long,0.1655,0.167,0.1647,L1784505599999,
2026-07-20T12:04:39+00:00,1784548800000,Silber,1h,short_created,short,57.17,57.07,56.9,S1784545200000,
2026-07-20T12:04:41+00:00,1784541599999,XLM,1h,long_created,long,0.189,0.1863,0.1849,L1784537999999,
2026-07-20T12:04:41+00:00,1784541599999,XLM,1h,long_entry,long,0.189,0.1863,0.1849,L1784537999999,
2026-07-20T12:04:42+00:00,1784548800000,Google,1h,short_created,short,349.07,348.78,348.26,S1784545200000,
2026-07-20T14:28:07+00:00,1784552399999,ETH,1h,short_created,short,1862.68,1868.53,1854.31,S1784537999999,
2026-07-20T14:28:08+00:00,1784555999999,SUI,1h,short_created,short,0.7514,0.7564,0.7509,S1784552399999,
2026-07-20T14:28:09+00:00,1784556000000,Amazon,1h,short_created,short,248.65,248.46,247.56,S1784552400000,8h
2026-07-20T14:28:10+00:00,1784556000000,Take-Two,1h,long_created,long,238.01,238.12,237.62,L1784541600000,
